"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan Wilkins","IND","2.5","14.1","0.1","0.7","4.2","0.0","0.0","2.4"
"Gus Edwards","BAL","3.5","16.8","0.1","0.5","2.6","0.0","0.0","2.3"
"Lamical Perine","NYJ","3.3","12.8","0.1","0.6","4.1","0.0","0.0","2.2"
"Corey Clement","PHI","3.8","13.6","0.1","0.9","5.6","0.0","0.1","2.2"
"Kyle Juszczyk","SF","1.3","3.7","0.0","1.4","14.1","0.1","0.0","2.2"
"LeSean McCoy","TB","3.1","11.4","0.1","0.9","5.7","0.0","0.0","2.2"
"Kalen Ballage","NYJ","2.1","10.4","0.1","0.7","5.3","0.0","0.0","2.2"
"Jaylen Samuels","PIT","2.1","7.1","0.0","1.3","9.5","0.0","0.0","2.0"
"J.J. Taylor","NE","2.3","9.0","0.0","0.9","6.9","0.0","0.0","2.0"
"Ito Smith","ATL","2.2","8.6","0.0","1.2","7.2","0.0","0.0","1.9"
"AJ Dillon","GB","3.0","12.1","0.1","0.5","3.2","0.0","0.0","1.9"
"Devontae Booker","LV","2.1","6.7","0.0","1.1","8.3","0.0","0.0","1.8"
"DeeJay Dallas","SEA","1.8","8.5","0.1","0.6","5.3","0.1","0.1","1.8"
"Darrell Henderson","LAR","3.3","12.1","0.0","0.5","3.6","0.0","0.0","1.8"
"Justin Jackson","LAC","2.6","10.9","0.0","0.7","3.7","0.0","0.0","1.7"
"Reggie Bonnafon","CAR","2.4","9.8","0.1","0.4","2.6","0.0","0.0","1.7"
"Andy Janovich","CLE","0.4","1.7","0.0","0.6","7.6","0.1","0.0","1.6"
"Patrick Laird","MIA","1.1","5.3","0.0","1.2","8.5","0.0","0.0","1.6"
"Tyler Ervin","GB","1.6","7.5","0.0","0.7","5.6","0.0","0.0","1.5"
"Dion Lewis","NYG","2.6","8.7","0.0","1.0","5.4","0.0","0.0","1.5"
"Travis Homer","SEA","2.0","7.4","0.0","0.9","5.2","0.0","0.0","1.4"
"Eno Benjamin","ARI","1.8","7.5","0.1","0.5","2.7","0.0","0.0","1.4"
"Bryce Love","WAS","1.9","6.7","0.1","0.4","2.3","0.0","0.0","1.2"
"Rico Dowdle","DAL","1.2","5.5","0.0","0.3","2.6","0.0","0.0","1.1"
"Justice Hill","BAL","1.3","5.1","0.1","0.3","2.3","0.0","0.0","1.1"
"Dare Ogunbowale","JAC","0.4","0.9","0.0","0.8","7.7","0.0","0.0","1.1"
"Ty Montgomery","NO","0.7","4.0","0.0","0.6","4.7","0.0","0.0","1.0"
"Darwin Thompson","KC","1.6","5.7","0.0","0.5","2.6","0.0","0.0","1.0"
"Mike Davis","CAR","1.9","5.9","0.0","0.5","3.1","0.0","0.0","1.0"
"C.J. Ham","MIN","0.4","1.7","0.0","0.7","6.4","0.0","0.0","1.0"
"Anthony McFarland Jr.","PIT","2.2","7.0","0.0","0.7","3.0","0.0","0.0","1.0"
"Mike Boone","MIN","1.4","6.0","0.0","0.5","2.5","0.0","0.0","1.0"
"T.J. Yeldon","BUF","1.6","5.9","0.0","0.1","2.9","0.0","0.0","0.9"
"Ryan Nall","CHI","1.6","4.6","0.0","0.4","2.6","0.0","0.0","0.9"
"Ke'Shawn Vaughn","TB","1.4","4.9","0.0","0.4","2.0","0.0","0.0","0.9"
"Wayne Gallman","NYG","1.2","4.7","0.0","0.6","2.3","0.0","0.0","0.9"
"Ty Johnson","DET","0.6","4.8","0.0","0.4","2.3","0.0","0.0","0.8"
"Khari Blasingame","TEN","0.7","2.4","0.0","0.4","4.0","0.0","0.0","0.8"
"Buddy Howell","HOU","1.6","4.4","0.0","0.3","2.1","0.0","0.0","0.7"
"Jeff Wilson Jr.","SF","1.0","3.9","0.0","0.1","1.0","0.0","0.0","0.7"
"Ameer Abdullah","MIN","0.3","2.2","0.0","0.4","3.5","0.0","0.0","0.7"
"Jason Huntley","PHI","0.8","3.5","0.0","0.3","2.1","0.0","0.0","0.7"
"Qadree Ollison","ATL","0.9","2.7","0.1","0.1","0.7","0.0","0.0","0.6"
"Alec Ingold","LV","0.3","2.1","0.0","0.3","2.7","0.0","0.0","0.6"
"Patrick Ricard","BAL","0.0","0.3","0.0","0.4","3.0","0.0","0.0","0.6"
"D.J. Foster","ARI","0.0","0.0","0.0","0.3","4.2","0.0","0.0","0.6"
"Samaje Perine","CIN","0.3","3.1","0.0","0.2","1.8","0.0","0.0","0.6"
"Derek Watt","PIT","0.2","0.8","0.0","0.2","2.4","0.0","0.0","0.5"
"Bruce Miller","JAC","0.0","1.3","0.0","0.4","3.0","0.0","0.0","0.5"
"D'Ernest Johnson","CLE","0.3","1.4","0.0","0.2","2.2","0.0","0.0","0.4"
"Nick Bellore","SEA","0.3","1.0","0.0","0.2","1.7","0.0","0.0","0.4"
"Xavier Jones","LAR","0.0","1.9","0.0","0.2","1.5","0.0","0.0","0.4"
"Senorise Perry","TEN","0.8","2.0","0.0","0.2","2.0","0.0","0.0","0.4"
"Trenton Cannon","CAR","0.4","1.2","0.0","0.3","2.0","0.0","0.0","0.4"
"Jakob Johnson","NE","0.0","0.2","0.0","0.3","3.4","0.0","0.0","0.4"
"Taiwan Jones","BUF","0.3","0.7","0.0","0.2","2.4","0.0","0.0","0.4"
"Keith Smith","ATL","0.2","1.0","0.0","0.3","1.5","0.0","0.0","0.3"
