"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jalen Reagor","PHI","3.2","40.4","0.2","0.1","0.7","0.0","0.0","5.0"
"Golden Tate","NYG","3.4","40.4","0.2","0.1","0.8","0.0","0.0","5.0"
"James Washington","PIT","2.6","39.3","0.2","0.1","0.2","0.0","0.0","4.8"
"Marquez Valdes-Scantling","GB","2.5","38.7","0.1","0.2","0.6","0.0","0.0","4.8"
"Randall Cobb","HOU","3.2","39.1","0.1","0.3","1.1","0.0","0.0","4.8"
"Justin Jefferson","MIN","2.7","35.5","0.1","0.1","0.6","0.0","0.0","4.4"
"John Ross","CIN","2.3","32.6","0.2","0.2","0.8","0.0","0.0","4.3"
"Dontrelle Inman","WAS","2.5","34.5","0.1","0.0","0.1","0.0","0.0","4.2"
"Olabisi Johnson","MIN","2.8","34.1","0.1","0.1","0.4","0.0","0.0","4.2"
"Quintez Cephus","DET","2.6","34.4","0.1","0.1","0.4","0.0","0.0","4.2"
"Keelan Cole","JAC","2.3","33.1","0.1","0.1","0.7","0.0","0.0","4.2"
"Mecole Hardman","KC","2.1","30.1","0.2","0.3","1.4","0.0","0.0","4.2"
"Chris Hogan","NYJ","2.8","34.0","0.1","0.0","0.1","0.0","0.0","4.1"
"Willie Snead IV","BAL","2.3","28.4","0.2","0.1","0.5","0.0","0.0","3.8"
"Miles Boykin","BAL","2.2","29.5","0.1","0.0","0.0","0.0","0.0","3.8"
"Bryan Edwards","LV","2.5","30.7","0.1","0.1","0.7","0.0","0.0","3.8"
"Isaiah Ford","MIA","2.6","28.1","0.1","0.0","0.4","0.0","0.0","3.6"
"Demarcus Robinson","KC","2.2","26.8","0.1","0.0","0.0","0.0","0.0","3.5"
"Zach Pascal","IND","2.0","26.6","0.1","0.1","0.6","0.0","0.0","3.5"
"Chris Conley","JAC","2.2","28.9","0.1","0.0","0.0","0.0","0.0","3.5"
"Van Jefferson","LAR","2.1","28.1","0.1","0.1","0.6","0.0","0.0","3.4"
"Jakeem Grant","MIA","2.1","24.0","0.1","0.3","1.7","0.0","0.0","3.3"
"Damiere Byrd","NE","2.1","26.6","0.1","0.0","0.0","0.0","0.0","3.3"
"Kalif Raymond","TEN","1.4","20.5","0.2","0.0","0.3","0.0","0.0","3.2"
"Kenny Stills","HOU","1.7","23.9","0.1","0.0","0.0","0.0","0.0","3.2"
"Greg Ward","PHI","2.3","24.9","0.1","0.2","0.9","0.0","0.0","3.1"
"Josh Reynolds","LAR","1.7","23.8","0.1","0.1","0.7","0.0","0.0","3.1"
"Michael Pittman Jr.","IND","1.8","23.6","0.1","0.1","0.6","0.0","0.0","3.0"
"Dede Westbrook","JAC","2.0","22.5","0.1","0.0","0.6","0.0","0.0","3.0"
"David Moore","SEA","1.6","22.4","0.1","0.1","0.8","0.0","0.0","3.0"
"Chase Claypool","PIT","1.9","23.8","0.1","0.1","0.4","0.0","0.0","3.0"
