"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Corey Davis","TEN","2.8","38.6","0.2","0.1","0.4","0.0","0.0","4.8"
"Justin Jefferson","MIN","2.6","34.7","0.2","0.1","0.9","0.0","0.0","4.6"
"Kendrick Bourne","SF","2.7","35.6","0.2","0.1","0.3","0.0","0.0","4.5"
"Russell Gage","ATL","3.2","34.8","0.1","0.3","2.0","0.0","0.0","4.5"
"Bryan Edwards","LV","2.8","35.1","0.1","0.1","0.7","0.0","0.0","4.5"
"Dede Westbrook","JAC","3.1","33.4","0.2","0.3","1.5","0.0","0.0","4.4"
"Michael Pittman Jr.","IND","2.6","33.7","0.2","0.1","0.6","0.0","0.0","4.3"
"Mike Williams","LAC","2.2","32.0","0.2","0.0","0.1","0.0","0.0","4.1"
"Dontrelle Inman","WAS","2.2","32.2","0.1","0.0","0.0","0.0","0.0","4.1"
"Kenny Stills","HOU","2.1","30.6","0.2","0.0","0.0","0.0","0.0","4.0"
"Van Jefferson","LAR","2.4","29.0","0.1","0.0","0.3","0.0","0.0","3.7"
"Damiere Byrd","NE","2.0","25.4","0.2","0.0","0.1","0.0","0.0","3.6"
"Laviska Shenault Jr.","JAC","2.1","26.6","0.1","0.8","3.6","0.0","0.0","3.6"
"John Ross","CIN","1.9","25.3","0.2","0.1","1.0","0.0","0.0","3.5"
"Greg Ward","PHI","2.5","27.6","0.1","0.2","1.1","0.0","0.0","3.5"
"Zach Pascal","IND","2.1","26.7","0.1","0.0","0.4","0.0","0.0","3.3"
"Adam Humphries","TEN","2.4","25.8","0.1","0.1","0.4","0.0","0.0","3.3"
"Jakeem Grant","MIA","2.0","23.5","0.1","0.4","2.4","0.0","0.0","3.3"
"Tre'Quan Smith","NO","1.7","23.7","0.1","0.0","0.0","0.0","0.0","3.1"
"Josh Reynolds","LAR","1.7","22.7","0.1","0.2","1.2","0.0","0.0","3.0"
"Chase Claypool","PIT","1.8","22.6","0.1","0.0","0.2","0.0","0.0","3.0"
"Miles Boykin","BAL","1.8","22.6","0.1","0.0","0.1","0.0","0.0","3.0"
"Phillip Dorsett","SEA","1.6","22.2","0.1","0.0","0.5","0.0","0.0","3.0"
"Willie Snead","BAL","1.8","21.9","0.1","0.1","0.5","0.0","0.0","2.8"
"Isaiah Ford","MIA","1.8","21.7","0.1","0.0","0.2","0.0","0.0","2.7"
"David Moore","SEA","1.2","19.6","0.1","0.0","0.7","0.0","0.0","2.7"
"J.J. Arcega-Whiteside","PHI","1.6","20.9","0.1","0.0","0.2","0.0","0.0","2.6"
"Marquez Valdes-Scantling","GB","1.4","21.7","0.1","0.2","0.5","0.0","0.0","2.6"
"Denzel Mims","NYJ","1.8","21.4","0.1","0.0","0.2","0.0","0.0","2.6"
"Ted Ginn","CHI","1.3","18.6","0.1","0.2","1.1","0.0","0.0","2.5"
"Olabisi Johnson","MIN","1.7","19.8","0.1","0.0","0.3","0.0","0.0","2.5"
"Jakobi Meyers","NE","1.4","18.9","0.1","0.0","0.0","0.0","0.0","2.4"
"Tim Patrick","DEN","1.5","19.7","0.1","0.0","0.2","0.0","0.0","2.4"
"Cordarrelle Patterson","CHI","1.1","10.3","0.0","1.9","9.5","0.0","0.0","2.4"
"Andy Isabella","ARI","1.3","17.8","0.1","0.3","1.2","0.0","0.0","2.3"
"Scott Miller","TB","1.5","17.3","0.1","0.3","1.0","0.0","0.0","2.3"
"Nelson Agholor","LV","1.4","16.5","0.1","0.4","1.7","0.0","0.0","2.3"
"Demarcus Robinson","KC","1.3","16.4","0.1","0.0","0.0","0.0","0.0","2.3"
"Jalen Guyton","LAC","1.4","17.4","0.1","0.0","0.1","0.0","0.0","2.2"
"Equanimeous St. Brown","GB","1.2","17.4","0.1","0.0","0.2","0.0","0.0","2.1"
"Tee Higgins","CIN","1.3","16.5","0.1","0.0","0.2","0.0","0.0","2.0"
"Chris Hogan","NYJ","1.2","16.6","0.1","0.0","0.0","0.0","0.0","2.0"
"Auden Tate","CIN","1.3","17.1","0.0","0.0","0.0","0.0","0.0","1.9"
"Antonio Gandy-Golden","WAS","1.2","16.0","0.1","0.0","0.2","0.0","0.0","1.9"
"Keelan Cole","JAC","0.9","14.4","0.1","0.0","0.3","0.0","0.0","1.9"
"Dante Pettis","SF","0.8","13.0","0.1","0.0","0.1","0.0","0.0","1.7"
"Kalif Raymond","TEN","0.9","11.9","0.1","0.0","0.2","0.0","0.0","1.6"
"Devin Duvernay","BAL","1.0","12.9","0.0","0.0","0.2","0.0","0.0","1.6"
"Joe Reed","LAC","1.0","12.3","0.1","0.0","0.2","0.0","0.0","1.5"
"DaeSean Hamilton","DEN","1.1","11.1","0.1","0.0","0.0","0.0","0.0","1.4"
"Rashard Higgins","CLE","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.3"
"Zay Jones","LV","0.8","9.9","0.1","0.0","0.0","0.0","0.0","1.3"
"Javon Wims","CHI","0.9","11.2","0.0","0.0","0.1","0.0","0.0","1.3"
"KJ Hamler","DEN","0.8","10.7","0.0","0.0","0.2","0.0","0.0","1.1"
"Mack Hollins","MIA","0.6","8.1","0.0","0.1","0.5","0.0","0.0","1.1"
"Braxton Berrios","NYJ","0.6","7.3","0.0","0.1","0.7","0.0","0.0","1.1"
"Jamal Agnew","DET","0.4","4.0","0.0","1.5","6.0","0.0","0.0","1.0"
"Marvin Hall","DET","0.5","7.5","0.0","0.0","0.2","0.0","0.0","1.0"
"K.J. Hill","LAC","0.5","6.4","0.0","0.6","1.5","0.0","0.0","0.9"
"Justin Watson","TB","0.6","7.4","0.0","0.0","0.1","0.0","0.0","0.9"
"Christian Blake","ATL","0.7","7.5","0.0","0.0","0.0","0.0","0.0","0.9"
