"Player","Team","REC","YDS","TDS","FL","FPTS"
"Daniel Brown","NYJ","0.5","4.0","0.0","0.0","0.4"
"Marcus Baugh","WAS","0.4","3.9","0.0","0.0","0.4"
"Deon Yelder","KC","0.3","3.6","0.0","0.0","0.4"
"Sean McKeon","DAL","0.4","3.9","0.0","0.0","0.4"
"Troy Fumagalli","HOU","0.3","2.6","0.0","0.0","0.4"
"Cethan Carter","CIN","0.4","3.6","0.0","0.0","0.4"
"Darrell Daniels","ARI","0.2","2.3","0.0","0.0","0.2"
"Eric Tomlinson","NYG","0.2","2.0","0.0","0.0","0.2"
"Kahale Warring","HOU","0.2","2.0","0.0","0.0","0.2"
"Jesper Horsted","CHI","0.1","1.1","0.0","0.0","0.2"
"Jordan Franks","PHI","0.1","1.0","0.0","0.0","0.2"
"Jason Croom","BUF","0.1","1.0","0.0","0.0","0.2"
"Cole Hikutini","DAL","0.1","0.5","0.0","0.0","0.1"
"Patrick Scales","CHI","0.1","1.0","0.0","0.0","0.1"
"Jakob Johnson","NE","0.1","0.6","0.0","0.0","0.1"
"Isaac Nauta","DET","0.1","0.6","0.0","0.0","0.1"
"Temarrick Hemingway","WAS","0.0","0.2","0.0","0.0","0.0"
""
""
